"Kod";"Nazwa";"urodzenia żywe na 1000 ludności;2021;[-]";"urodzenia żywe na 1000 ludności;2022;[-]";
2476000;"Powiat m. Świętochłowice";8,95;7,16;
2477000;"Powiat m. Tychy";7,63;7,13;
2478000;"Powiat m. Zabrze";7,54;7,21;
2479000;"Powiat m. Żory";8,33;7,86;
2601000;"Powiat buski";6,61;6,59;
2602000;"Powiat jędrzejowski";6,72;7,26;
2603000;"Powiat kazimierski";7,08;6,52;
2604000;"Powiat kielecki";8,75;8,40;
2605000;"Powiat konecki";6,46;5,98;
2606000;"Powiat opatowski";6,81;6,15;
2607000;"Powiat ostrowiecki";5,89;5,57;
2608000;"Powiat pińczowski";6,95;6,65;
2609000;"Powiat sandomierski";7,73;6,40;
2610000;"Powiat skarżyski";5,71;5,25;
2611000;"Powiat starachowicki";6,91;6,55;
2612000;"Powiat staszowski";7,48;6,79;
2613000;"Powiat włoszczowski";7,47;6,77;
2661000;"Powiat m. Kielce";8,07;7,61;
2801000;"Powiat bartoszycki";7,04;6,19;
2802000;"Powiat braniewski";6,82;6,65;
2803000;"Powiat działdowski";8,35;8,42;
2804000;"Powiat elbląski";7,50;6,45;
2805000;"Powiat ełcki";8,19;7,50;
2806000;"Powiat giżycki";7,46;6,81;
2807000;"Powiat iławski";8,70;8,01;
2808000;"Powiat kętrzyński";6,63;5,80;
2809000;"Powiat lidzbarski";7,13;6,40;
2810000;"Powiat mrągowski";6,44;6,06;
2811000;"Powiat nidzicki";7,19;7,83;
2812000;"Powiat nowomiejski";8,16;7,88;
2813000;"Powiat olecki";7,41;8,71;
2814000;"Powiat olsztyński";7,42;7,02;
2815000;"Powiat ostródzki";7,94;7,28;
2816000;"Powiat piski";7,54;7,86;
2817000;"Powiat szczycieński";7,99;7,42;
2818000;"Powiat gołdapski";7,57;6,88;
2819000;"Powiat węgorzewski";6,96;6,30;
2861000;"Powiat m. Elbląg";6,58;6,61;
2862000;"Powiat m. Olsztyn";8,48;8,04;
3001000;"Powiat chodzieski";7,60;7,45;
3002000;"Powiat czarnkowsko-trzcianecki";7,99;7,58;
3003000;"Powiat gnieźnieński";9,26;8,50;
3004000;"Powiat gostyński";10,08;9,99;
3005000;"Powiat grodziski";10,70;10,07;
3006000;"Powiat jarociński";9,92;8,61;
3007000;"Powiat kaliski";9,08;8,36;
3008000;"Powiat kępiński";9,88;9,11;
3009000;"Powiat kolski";8,35;7,57;
3010000;"Powiat koniński";9,20;7,89;
3011000;"Powiat kościański";10,16;8,97;
3012000;"Powiat krotoszyński";9,86;8,89;
3013000;"Powiat leszczyński";11,17;9,15;
3014000;"Powiat międzychodzki";9,53;8,49;
3015000;"Powiat nowotomyski";10,04;9,11;
3016000;"Powiat obornicki";9,90;8,00;
3017000;"Powiat ostrowski";8,97;8,53;
3018000;"Powiat ostrzeszowski";9,71;9,15;
3019000;"Powiat pilski";7,89;7,11;
3020000;"Powiat pleszewski";9,27;8,58;
3021000;"Powiat poznański";11,05;10,16;
3022000;"Powiat rawicki";8,95;9,26;
3023000;"Powiat słupecki";8,43;8,17;
3024000;"Powiat szamotulski";9,39;8,08;
3025000;"Powiat średzki";11,63;10,13;
3026000;"Powiat śremski";9,54;8,80;
3027000;"Powiat turecki";8,90;8,96;
3028000;"Powiat wągrowiecki";9,36;8,82;
3029000;"Powiat wolsztyński";10,46;9,85;
3030000;"Powiat wrzesiński";9,51;9,03;
3031000;"Powiat złotowski";9,01;7,41;
3061000;"Powiat m. Kalisz";7,57;6,53;
3062000;"Powiat m. Konin";6,48;6,18;
3063000;"Powiat m. Leszno";8,92;8,58;
3064000;"Powiat m. Poznań";10,11;8,94;
3201000;"Powiat białogardzki";6,95;6,34;
3202000;"Powiat choszczeński";7,65;6,57;
3203000;"Powiat drawski";7,01;5,96;
3204000;"Powiat goleniowski";8,69;7,61;
3205000;"Powiat gryficki";7,36;6,83;
3206000;"Powiat gryfiński";7,26;6,53;
3207000;"Powiat kamieński";6,51;6,70;
3208000;"Powiat kołobrzeski";6,97;6,30;
3209000;"Powiat koszaliński";7,69;6,10;
3210000;"Powiat myśliborski";6,82;5,96;
3211000;"Powiat policki";7,60;6,61;
3212000;"Powiat pyrzycki";7,51;6,87;
3213000;"Powiat sławieński";7,14;6,89;
3214000;"Powiat stargardzki";7,81;7,13;
3215000;"Powiat szczecinecki";7,24;6,79;
3216000;"Powiat świdwiński";6,61;6,89;
3217000;"Powiat wałecki";7,59;6,52;
3218000;"Powiat łobeski";7,95;7,22;
3261000;"Powiat m. Koszalin";8,43;7,40;
3262000;"Powiat m. Szczecin";8,66;8,21;
3263000;"Powiat m. Świnoujście";7,09;6,48;
