Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
1803000;Powiat d_bicki;8,39;82,1;38,3;84057992,16;102;4,7;131775;4,2
1804000;Powiat jaros_awski;7,77;79,2;38;75690776,97;105;11,3;121821;3,9
1805000;Powiat jasielski;7,5;81,3;31,5;61224921,43;104;12,7;123567;3,8
1806000;Powiat kolbuszowski;8,12;75,8;14;21442081,47;101;7,9;61162;3,5
1807000;Powiat kro_nie_ski;7,88;72,2;11,6;24646779,12;103;7,5;108880;3,9
1808000;Powiat le_ajski;8,77;80,1;27,4;43346537,49;103;14,8;69134;4,2
1809000;Powiat lubaczowski;6,55;76,3;34,2;27625637,51;101;10,4;57664;4
1810000;Powiat _a_cucki;9,7;79,7;21,8;35953092,9;103;9,8;77143;4
1811000;Powiat mielecki;8,74;87,2;46,9;79286964,14;103;4,4;132935;4,4
1812000;Powiat ni_a_ski;6,86;74,9;35;31023514,93;103;16,6;67257;3,5
1813000;Powiat przemyski;8,2;75,4;1,1;5306662,33;100;16;71166;4,2
1814000;Powiat przeworski;8,43;76,2;25,7;21970725,61;103;14,4;78911;4,2
1815000;Powiat ropczycko-s_dziszowski;10,01;79,7;38,1;45442922,96;102;11,1;70793;4,3
1816000;Powiat rzeszowski;8,96;84,8;19,2;39037313,05;102;8;169309;3,8
1817000;Powiat sanocki;6,65;78,5;43,9;51908675,25;105;7,8;94382;3,4
1818000;Powiat stalowowolski;6,12;86,8;57,7;63371426,04;106;4,5;110405;3,5
1819000;Powiat strzy_owski;8,01;72,1;14,3;30529054,68;102;17,7;61940;4,3
1820000;Powiat tarnobrzeski;7,81;85,7;23,1;18374885,93;104;7,5;54078;3,6
1821000;Powiat leski;6,6;87;20,2;11402194,02;103;19;26526;3,6
1861000;Powiat m. Krosno;6,94;80,8;100;11402194,02;112;2,7;48372;3,6
1862000;Powiat m. Przemy_l;5,58;81,3;100;11402194,02;114;10,5;68095;3,5
1863000;Powiat m. Rzesz—w;9,64;97,1;100;11402194,02;111;4,4;160376;4,5
1864000;Powiat m. Tarnobrzeg;5,98;81,7;100;11402194,02;110;6,9;50287;3,3
2001000;Powiat augustowski;6,75;90,2;56,9;26723369,36;105;10,1;59190;3,9
2002000;Powiat bia_ostocki;8,17;83,5;34,8;14851898,8;103;7,5;138456;3,7
2003000;Powiat bielski;6,8;102;53,9;21519514,36;103;4,2;61613;3,9
2004000;Powiat grajewski;7,3;91,6;57,4;29988265,57;103;11,6;50934;3,7
2005000;Powiat hajnowski;5,41;101;51,5;13920742,97;107;8,1;50222;3,6
2006000;Powiat kolne_ski;9,11;81,6;33,3;9295932,67;99;16,1;40388;4,1
2007000;Powiat _om_y_ski;8,17;90,8;7,6;14000;98;5,2;50928;4,7
2008000;Powiat moniecki;6,28;82,5;36,8;11878138,57;101;7,3;44242;4,2
2009000;Powiat sejne_ski;7,36;94,1;26,3;5527494,42;101;9,8;21676;3,4
2010000;Powiat siemiatycki;5,97;81,1;37,2;21788290,68;104;6;50546;4,3
2011000;Powiat sok—lski;7;82,1;42,8;29364305,77;103;11,1;74973;4
2012000;Powiat suwalski;7,86;79,4;42,8;4806824,76;96;5;35526;4,1
2013000;Powiat wysokomazowiecki;7,88;90,5;33,3;30822178,8;99;7;60378;4,3
2014000;Powiat zambrowski;8,5;83,5;50,6;25793094,17;101;6,7;45292;4,3
2061000;Powiat m. Bia_ystok;9,19;92,2;100;25793094,17;113;5,2;291383;4
2062000;Powiat m. _om_a;7,98;86,9;100;25793094,17;111;6,9;63936;4,1
2063000;Powiat m. Suwa_ki;8,58;82,7;100;25793094,17;110;5,3;68923;3,8
2201000;Powiat bytowski;8,97;88,9;33,8;43910762,75;101;9,3;75092;4,4
2202000;Powiat chojnicki;9,96;81;56,1;74101021,23;103;8,4;89982;4,8
2203000;Powiat cz_uchowski;7,52;83,7;44,3;38235710,81;103;10,1;56882;3,6
2204000;Powiat gda_ski;8,54;96,4;24,6;29103981,17;103;3,7;79874;4,4
2205000;Powiat kartuski;12,5;84,3;13,6;65119567,66;100;3,2;103307;4,7
2206000;Powiat ko_cierski;9,52;81,4;32,4;42723769,2;101;7,2;65406;4,7
2207000;Powiat kwidzy_ski;7,24;87,1;56,2;43145148,59;102;5,9;79769;3,9
2208000;Powiat l_borski;8,24;88,3;58,3;37292225,53;105;10,5;63361;4,3
2209000;Powiat malborski;7,32;79,6;67,3;44892636,98;105;8,5;63006;4,2
2210000;Powiat nowodworski;7,15;85,7;31,6;16044974,94;101;12,3;35669;3,4
2211000;Powiat pucki;8,66;87,9;28;30197536,2;103;6;71461;4,1
2212000;Powiat s_upski;7,73;83,9;17,9;17464857,54;100;7,8;91617;3,8
2213000;Powiat starogardzki;9,07;95,9;46,6;76549356,39;103;5,6;120552;4
2214000;Powiat tczewski;8,52;91;63,4;77284626,42;104;5,5;111734;3,9
2215000;Powiat wejherowski;10,28;82,9;56,1;94087603,28;103;5,1;173514;4,8
2216000;Powiat sztumski;6,97;83,5;36,8;20390357,89;100;5,9;42012;3,4
2261000;Powiat m. Gda_sk;9,65;117,5;100;20390357,89;111;2,3;461334;5
2262000;Powiat m. Gdynia;7,06;104,2;100;20390357,89;113;2;253458;4,7
2263000;Powiat m. S_upsk;7,53;88,1;100;20390357,89;115;3,6;99943;4
2264000;Powiat m. Sopot;5,2;114,9;100;20390357,89;119;1,8;41927;3,7
2401000;Powiat b_dzi_ski;6,31;84,6;72,6;46470968,53;109;6;152232;3,4
2402000;Powiat bielski;8,39;87,6;26,2;29728312,7;104;3,1;146912;3,8
2403000;Powiat cieszy_ski;7,97;87,1;43,9;80222080,52;106;5;169109;3,9
2404000;Powiat cz_stochowski;7,09;86,1;12,9;13233975,76;104;6,5;133749;3,6
2405000;Powiat gliwicki;7,62;90,5;51,7;33864305,94;106;3,7;117486;4,1
2406000;Powiat k_obucki;7,72;76,5;20;25533857,52;103;7,3;84915;3,8
2407000;Powiat lubliniecki;7,48;84,8;36,7;35086245,58;103;5,5;77186;3,5
2408000;Powiat miko_owski;7,63;88,8;84,8;48755691,95;105;2,6;90360;3,4
2409000;Powiat myszkowski;6,65;83,9;53,6;24096600,83;108;6,9;72345;3,5
2410000;Powiat pszczy_ski;8,94;89,2;22,8;47241727,48;104;3,2;103377;3,8
2411000;Powiat raciborski;7,07;101,8;56,8;59818080,62;108;3,6;114418;3,8
2412000;Powiat rybnicki;8,11;84,4;34,8;16463906,42;104;4,9;72926;4
2413000;Powiat tarnog—rski;7,14;92,7;66,6;81480240,24;107;4,5;139676;3,7
2414000;Powiat bieru_sko-l_dzi_ski;7,83;83,8;75,3;21393265,53;103;1,7;55517;3,5
2415000;Powiat wodzis_awski;7,48;81,7;63,3;83369526,32;106;5,1;155315;4,2
2416000;Powiat zawiercia_ski;6,44;96;62,6;55275154,58;107;5,6;126091;3,6
2417000;Powiat _ywiecki;8,37;89,7;20;82942334,11;104;5;148788;4,2
2461000;Powiat m. Bielsko-Bia_a;7,56;96;100;82942334,11;112;1,8;178028;3,5
2462000;Powiat m. Bytom;6,73;94;100;82942334,11;110;8,3;193546;4,1
2463000;Powiat m. Chorz—w;6,85;88,8;100;82942334,11;111;3,5;117430;4,7
2464000;Powiat m. Cz_stochowa;6,46;89,8;100;82942334,11;114;3,2;251436;3,9
2465000;Powiat m. D_browa G—rnicza;5,2;108,4;100;82942334,11;110;4,6;132236;3,3
2466000;Powiat m. Gliwice;7,42;111,4;100;82942334,11;109;2,3;203814;4,2
2467000;Powiat m. Jastrz_bie-Zdr—j;6,73;0;100;82942334,11;106;3,4;97116;4,1
2468000;Powiat m. Jaworzno;6,75;112,9;100;82942334,11;107;4,2;96826;3,6
2469000;Powiat m. Katowice;7,45;119,6;100;82942334,11;112;1,5;327222;4,6
2470000;Powiat m. Mys_owice;7,86;85,8;100;82942334,11;107;5;75712;4,2
2471000;Powiat m. Piekary _l_skie;6,78;97,7;100;82942334,11;109;7;60909;4
2472000;Powiat m. Ruda _l_ska;7,41;89,6;100;82942334,11;108;2,5;150595;4,1
2473000;Powiat m. Rybnik;7,23;91,5;100;82942334,11;106;2,8;142731;4,2
